generation, mean_fitness, parameter, parameter_value
0, 3.387230884745152, pop_size, 1
1, 10.035698020785416, pop_size, 1
2, 16.163060249223328, pop_size, 1
3, 22.38303599817379, pop_size, 1
4, 28.594473008382888, pop_size, 1
5, 34.31150504116088, pop_size, 1
6, 40.73094302664737, pop_size, 1
7, 47.65003821304156, pop_size, 1
8, 53.99204221373314, pop_size, 1
9, 60.01292037969986, pop_size, 1
10, 66.34413672363642, pop_size, 1
11, 72.55696347724933, pop_size, 1
12, 78.90654988122677, pop_size, 1
13, 84.93930048261319, pop_size, 1
14, 91.42175284896453, pop_size, 1
15, 97.52799882921556, pop_size, 1
16, 103.81517539049085, pop_size, 1
17, 109.83702171887732, pop_size, 1
18, 115.78083777857509, pop_size, 1
19, 122.23890878136388, pop_size, 1
0, 5.923287968990786, pop_size, 2
1, 9.835833748719022, pop_size, 2
2, 18.08233501694227, pop_size, 2
3, 22.468330692671046, pop_size, 2
4, 27.714284428555242, pop_size, 2
5, 29.5989476209162, pop_size, 2
6, 36.91321529787555, pop_size, 2
7, 38.536368837320204, pop_size, 2
8, 42.56489807186131, pop_size, 2
9, 49.08030465759546, pop_size, 2
10, 51.20063117125475, pop_size, 2
11, 55.305445133815645, pop_size, 2
12, 62.244165176876564, pop_size, 2
13, 64.42896967829248, pop_size, 2
14, 72.96033061673914, pop_size, 2
15, 74.13973864983797, pop_size, 2
16, 81.27584759328519, pop_size, 2
17, 86.26811903668279, pop_size, 2
18, 91.38993911822595, pop_size, 2
19, 95.32179583344518, pop_size, 2
0, 3.943374765087688, pop_size, 3
1, 6.109559740327652, pop_size, 3
2, 10.779072357560993, pop_size, 3
3, 13.30358275475824, pop_size, 3
4, 15.771836641978922, pop_size, 3
5, 17.910462804617946, pop_size, 3
6, 19.684535044078643, pop_size, 3
7, 23.67767298401179, pop_size, 3
8, 25.289001235374098, pop_size, 3
9, 27.090599673644533, pop_size, 3
10, 30.45001293238302, pop_size, 3
11, 33.06114721234702, pop_size, 3
12, 35.54961748928408, pop_size, 3
13, 39.04473523652064, pop_size, 3
14, 41.699883937025426, pop_size, 3
15, 44.30787530867053, pop_size, 3
16, 45.60188812389017, pop_size, 3
17, 48.74733069735843, pop_size, 3
18, 51.16432971982795, pop_size, 3
19, 54.68608197735935, pop_size, 3
0, 6.606757776265826, pop_size, 4
1, 14.692935460179395, pop_size, 4
2, 20.404630384380944, pop_size, 4
3, 23.256645327832672, pop_size, 4
4, 27.4221138744284, pop_size, 4
5, 31.371443772470847, pop_size, 4
6, 34.80746715346797, pop_size, 4
7, 39.12543381681069, pop_size, 4
8, 42.77857326168621, pop_size, 4
9, 45.974732155186715, pop_size, 4
10, 49.661483604195524, pop_size, 4
11, 49.92834747810014, pop_size, 4
12, 57.43103014100553, pop_size, 4
13, 61.75038238608285, pop_size, 4
14, 62.91685757687686, pop_size, 4
15, 68.10788601720895, pop_size, 4
16, 71.04541134455481, pop_size, 4
17, 77.45088353792971, pop_size, 4
18, 79.8170832479253, pop_size, 4
19, 83.4033347470818, pop_size, 4
0, 8.044209626592826, pop_size, 5
1, 13.952939737045108, pop_size, 5
2, 16.8796294159406, pop_size, 5
3, 21.38733037755032, pop_size, 5
4, 19.944455977074774, pop_size, 5
5, 22.167924807859624, pop_size, 5
6, 25.73538711800764, pop_size, 5
7, 30.285234799557678, pop_size, 5
8, 31.427946533361727, pop_size, 5
9, 34.5195921163005, pop_size, 5
10, 38.8426108032329, pop_size, 5
